排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,乔尔-恩比德,76人,33.10,11.00-20.10,54.8%,1.00-3.00,33%,10.00-11.70,85.7%,66,34.60
2,卢卡-东契奇,独行侠,32.40,10.90-22.00,49.6%,2.80-8.20,34.2%,7.80-10.50,74.2%,66,36.20
3,达米安-利拉德,开拓者,32.20,9.60-20.70,46.3%,4.20-11.30,37.1%,8.80-9.60,91.4%,58,36.30
4,谢伊-吉尔杰斯-亚历山大,雷霆,31.40,10.30-20.30,51%,0.90-2.50,34.5%,9.80-10.90,90.5%,68,35.50
5,扬尼斯-阿德托昆博,雄鹿,31.10,11.20-20.30,55.3%,0.80-2.70,27.5%,7.90-12.20,64.5%,63,32.10
6,杰森-塔特姆,凯尔特人,30.10,9.80-21.10,46.6%,3.20-9.30,35%,7.20-8.40,85.4%,74,36.90
7,多诺万-米切尔,骑士,28.30,10.00-20.60,48.4%,3.60-9.30,38.6%,4.70-5.40,86.7%,68,35.80
8,杰伦-布朗,凯尔特人,26.60,10.10-20.60,49.1%,2.40-7.30,33.5%,3.90-5.10,76.5%,67,35.90
9,贾-莫兰特,灰熊,26.20,9.30-19.90,46.6%,1.50-4.90,30.7%,6.10-8.10,74.8%,61,31.90
9,特雷-杨,老鹰,26.20,8.20-19.00,42.9%,2.10-6.30,33.5%,7.80-8.80,88.6%,73,34.80
11,劳里-马尔卡宁,爵士,25.60,8.70-17.40,49.9%,3.00-7.70,39.1%,5.30-6.10,87.5%,66,34.40
12,朱利叶斯-兰德尔,尼克斯,25.10,8.60-18.60,45.9%,2.80-8.30,34.3%,5.20-6.90,75.7%,77,35.50
13,达龙-福克斯,国王,25.00,9.30-18.20,51.2%,1.60-5.00,32.4%,4.70-6.00,78%,73,33.40
14,扎克-拉文,公牛,24.80,8.70-18.00,48.5%,2.70-7.10,37.5%,4.70-5.60,84.8%,77,35.90
15,安东尼-爱德华兹,森林狼,24.60,8.90-19.50,45.9%,2.70-7.30,36.9%,4.00-5.30,75.6%,79,36.00
16,德马尔-德罗赞,公牛,24.50,8.90-17.60,50.4%,0.60-1.90,32.4%,6.20-7.10,87.2%,74,36.20
16,尼古拉-约基奇,掘金,24.50,9.40-14.80,63.2%,0.80-2.20,38.3%,4.90-6.00,82.2%,69,33.70
18,帕斯卡尔-西亚卡姆,猛龙,24.20,8.90-18.50,48%,1.30-4.00,32.4%,5.20-6.70,77.4%,71,37.40
19,杰伦-布伦森,尼克斯,24.00,8.60-17.60,49.1%,2.00-4.70,41.6%,4.80-5.80,82.9%,68,35.00
20,克里斯塔普斯-波尔津吉斯,凯尔特人,23.20,7.80-15.70,49.8%,2.10-5.50,38.5%,5.40-6.40,85.1%,65,32.60
21,吉米-巴特勒,热火,22.90,7.50-13.90,53.9%,0.60-1.60,35%,7.40-8.70,85%,64,33.40
22,杰伦-格林,火箭,22.10,7.50-17.90,41.6%,2.50-7.30,33.8%,4.80-6.10,78.6%,76,34.20
23,凯尔登-约翰逊,马刺,22.00,8.00-17.70,45.2%,2.10-6.50,32.9%,3.90-5.20,74.9%,63,32.70
24,克莱-汤普森,勇士,21.90,7.90-18.10,43.6%,4.40-10.60,41.2%,1.70-1.90,87.9%,69,33.00
25,达里厄斯-加兰,骑士,21.60,7.60-16.40,46.2%,2.50-6.00,41%,4.00-4.70,86.3%,69,35.50
25,博扬-波格丹诺维奇,活塞,21.60,7.30-14.90,48.8%,2.50-6.00,41.1%,4.50-5.10,88.4%,59,32.10
27,德斯蒙德-贝恩,灰熊,21.50,7.80-16.20,47.9%,2.90-7.00,40.8%,3.10-3.50,88.3%,58,31.70
28,凯尔-库兹马,奇才,21.20,8.00-17.80,44.8%,2.50-7.50,33.3%,2.70-3.70,73%,64,35.00
29,安芬尼-西蒙斯,开拓者,21.10,7.50-16.90,44.7%,3.40-9.10,37.7%,2.60-2.90,89.4%,62,35.00
29,特里-罗齐尔,黄蜂,21.10,7.80-18.90,41.5%,2.60-8.00,32.7%,2.80-3.50,80.9%,63,35.30
31,詹姆斯-哈登,76人,21.00,6.40-14.50,44.1%,2.80-7.20,38.5%,5.40-6.20,86.7%,58,36.80
32,CJ-麦科勒姆,鹈鹕,20.90,7.80-17.90,43.7%,2.80-7.20,38.9%,2.40-3.20,76.9%,75,35.30
33,乔丹-克拉克森,爵士,20.80,7.50-16.90,44.4%,2.50-7.50,33.8%,3.30-4.00,81.6%,61,32.60
